id,transaction_id,amount,type,location,device,result,alerted
1,101,6000.0,Online,mumbai,Laptop,Fraud Detected,1
2,T101,6000.0,Online,dubai,Laptop,Fraud Detected,1
3,T102,200.0,Online,mumbai,ATM Machine,Transaction Safe,0
4,T10,4000.0,POS,pune,POS Terminal,Fraud Detected,1
5,T104,7000.0,Online,Satara,Mobile,Fraud Detected,1
6,T103,4000.0,POS,Hyderabad,Mobile,Fraud Detected,1
7,105,200.0,POS,Sangli,Mobile,Transaction Safe,0
8,107,8000.0,Online,Hyderabad,Laptop,Fraud Detected,0
9,T100,9000.0,Online,dubai,Mobile,Fraud Detected,0
10,T901,300.0,Bank Transfer,mumbai,Laptop,Transaction Safe,0
11,T111,3000.0,Online,Delhi,Mobile,Fraud Detected,0
12,A104,7000.0,Online,mumbai,Laptop,Fraud Detected,1
13,B101,4000.0,Online,Mumbai,Laptop,Fraud Detected,0
14,B102,2000.0,Online,Pune,Mobile,Fraud Detected,0
15,C102,5000.0,POS,Mumbai,Laptop,Fraud Detected,0
16,C101,300.0,Online,Hyderabad,Mobile,Transaction Safe,0
17,C105,300.0,ATM Withdrawal,Hyderabad,Mobile,Transaction Safe,0
18,D101,4000.0,Online,satara,Mobile,Fraud Detected,0
19,D102,1000.0,Online,karjat,Mobile,Transaction Safe,0
20,D105,2000.0,Online,Karjat,Mobile,Fraud Detected,1
21,D104,2000.0,Online,Pune,Mobile,Fraud Detected,0
22,E106,50000.0,Online,navi mumbai,Mobile,Fraud Detected,0
23,121,5000.0,Online,Mumbai,Laptop,Fraud Detected,0
24,T21,5000.0,Online,Pune,Laptop,Fraud Detected,0
25,T105,1000.0,Online,pune,Mobile,Transaction Safe,0
